# Page 1
Within the purview of Urban Local Bodies
Notified Specific Civil Services and Facilities
To provide funding for...
Government of Maharashtra
the Planning Department
Government Decision No. - Narrow-2024 / Q. No.27 / Ka-1411,
Mantralaya, Mumbai - 400 032
Date: 19th June, 2024.
Read: - Government Decision Planning Department No. Narrow-2024 / Q. 18 (23) / Q. 1411, D. March 14, 2024.
The Proposal: -
Read about the thematic plan: Ahmedpur Municipal Council and Chakur Nagar Panchayat as per the decision of the Government here.
For Rs. A fund of ₹1 crore has been sanctioned. in the Annexure to this Government Decision.
The local body does not have a clear mention of Ahmedpur Municipal Council and Chakur Nagar Panchayat in front of the sanctioned works.
There is no clarity on the activities within the purview of the autonomous bodies. Therefore, the list of works in this Schedule is hereby deleted.
The approval of the revised list was under the consideration of the government.
The Government's Decisions:
Read above: Withdrawal of the list of works in the Annexure to the Government Decision hereunder:
The revised list is being approved by the government.
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Annexure to Government Decision No. Narrow-2024 / Pro. र.27/क No.1411 dated 19th June, 2024 |
| Ahmedpur Municipal Council                                                                  |
| A. No.                                                                                      | The name of the work                                                                            | Rs. Attention |
| 23 | Construction of Cement Road / Drainage from Ahmedpur No.10 Sanatan Bhutda to Suresh Taylor House                      | 10.00 |
| 24 | Construction of Cement Road / Sewerage across the house of Ahmedpur PS No. 11 Chawale Sir to Ad Sab Shetkar           | 10.00 |
| 25 | Road from Ahmedpur No.5 Gutte to Navnath Puri                                                                         | 10.00 |
| 26 | Construction of Cement Road / Drainage from Ahmedpur No.5 Shingde Sir to Waghmare Sir                                 | 10.00 |
| 27 | Construction of Cement Road / Drainage from Ahmedpur No.5 Matimand School to Tembhurni Radepayant                     | 10.00 |
| 28 | Construction of Cement Road / Drainage from Shopping Centre Hanuman Mandir to Kotgiri, Ahmedpur No. 4.                | 10.00 |
| 29 | Ahmedpur No.5 Gavalanbai Balwad to Ravi Mandade House Road / Drainage Construction                                    | 10.00 |
| 30 | Cement road / drain blockage from Ahmedpur No.5 Bhange Sir to Bhinge Sir                                              | 10.00 |
| 31 | Ahmedpur No. 11 Gadi Gali Hall Construction                                                                           | 40.00 |
| 32 | Construction of cement road / drain from Ahmedpur No. 11 Bakan Colony Chopne to Chavan's house                        | 10.00 |
| 33 | Construction of Cement Road / Drainage from Ahmedpur No.2 Karad Nagar Syed to Narwate                                 | 10.00 |
| 34 | Construction of Cement Road / Drainage from Irshad Sheikh to Saraswati Hake, Karad Nagar, Ahmedpur P.S.No.2           | 10.00 |
| 35 | Construction of Cement Road / Drainage from Ahmedpur No.2 Karad Nagar Jairam Mundhe to Wadekar's House                | 10.00 |
| 36 | Cement road from Ahmedpur No.7 Balaji Togre to Anwar Sheikh                                                           | 10.00 |
| 37 | Cement road from Ahmedpur No.7 Usun Taylor to Rahmat Bhai's house                                                     | 10.00 |
| 38 | Road from Ahmedpur No.7 Hashim Chaus to Aslam Pathan                                                                  | 10.00 |
| 39 | Construction of Simanta Road / Drainage from Ahmedpur No.5 Halse to Harne, Tembhurni Road                             | 10.00 |
| 40 | Ahmedpur No.4 Tambre Gudsurkar Chopde to Imran Sheikh Payant Construction of Cement Road and Drainage                 | 10.00 |
| 41 | Ahmedpur No.5 Cement road from Kailash Bhagat to Balu Biradar                                                         | 10.00 |
| 42 | Construction of narrow road / drain from Ahmedpur P.No.5 Tebhurni Road to Wadkar Sir's House                          | 10.00 |
| 43 | Ahmedpur No. 11 Construction of Drainage from Mirkel Nagar Holkar to Suryavanshi                                      | 10.00 |
| 44 | Ahmedpur No.8 Construction of cement road / drain from Harul Mulla to Mehboob Bhai's house                            | 10.00 |
| 45 | Construction of cement road / drain from Ahmedpur No.11 Mayur Jaju to Santosh Majge's house                           | 10.00 |
| 46 | Construction of cement road / drain from Ahmedpur No. 5 to Sir to Bashid Khan Pathan's house                          | 10.00 |
--------------------------------------------------------------------------------------------------------------------------------------
Page 2 of 5
# Page 3
Government Decision No: Narrow-2024 / Q. No.27 / Ka-1411
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
| 47                     | Construction of Cement Road / Drainage from Ahmedpur No.5 Namdeo Gaekwad to Satapur                                             | 10.00 |
| 48                     | Blocking of narrow road / drain from Ahmedpur No. 11 Chate to Chandrakant Dukre's house                                         | 10.00 |
| 49                     | Ahmedpur No.11 Bakan Colony Hanuman Mandir Hall                                                                                 | 10.00 |
| 50                     | Ahmedpur No.11 Prakash Phulari to Somnath Road Cement Road / Drainage Construction                                              | 10.00 |
| 51                     | Construction of Cement Road / Drainage near Ahmedpur No.11 Gattew Sir to Mali Sir House                                         | 10.00 |
| 52                     | Construction of cement road / drain from Ahmedpur No.5 College Road to Rahul Ghatol's house                                     | 10.00 |
| 53                     | Construction of Cement Road / Drainage from Gajanan Gangthade to Dhanaji Ghogre, Ahmedpur P.No.5                                | 10.00 |
| 54                     | Cement road from Ahmedpur No.5 Tembhurni Road to Sangeeta Jadhav's house                                                        | 10.00 |
| 55                     | Cement road from Ahmedpur No. 11 Parganas to Fazge's house                                                                      | 10.00 |
| 56                     | Ahmedpur P.S. No. 5 To make a narrow road from Lohakare to Ashok Chapte's house                                                 | 10.00 |
| 57                     | Ahmedpur No. 11 Cement road from Akash Patil to Prashant Bhosale                                                                | 10.00 |
| 58                     | Construction of cement road from Ahmedpur No. 5 Shopping Centre to Adv. Rajendra Shelke's house                                 | 10.00 |
| 59                     | Cement road from Ahmedpur No. 2 Pinjari to Masjid                                                                               | 10.00 |
| 60                     | Cement road from Ahmedpur PS No.5 K.K. Kamble to Sanjeev Waghmare's house                                                       | 10.00 |
| 61                     | Ahmedpur No.5 Gaekwad Colony to Shopping Centre Approach Road Construction of cement road and drain near Narendra Reddy's house | 20.00 |
| 62                     | Construction of Cement Road and Sewerage near Ahmedpur P.No.5 Rahul Ghatol to Bhagai Sir's House                                | 10.00 |
| 63                     | Ahmedpur P.S. No. 4 To make a narrow road from Bhatambre Sir to Rathi                                                           | 10.00 |
| 64                     | Making a cement road past Aniket Sude's house in Ahmedpur Uday Nagar Ashish Argulwar                                            | 10.00 |
| 65                     | Cement road to Ahmedpur No.10 Marwari Public Crematorium                                                                        | 10.00 |
| 66                     | Ahmedpur No. 3 Construction of retaining wall of Ahilya Devi Holkar Hall                                                        | 10.00 |
| 67                     | Cement road from Ahmedpur No. 2 Nanded Road (Vedanti Hotel) to Jadhav's house                                                   | 10.00 |
| 68                     | Construction of cement road from Dargaparua Mosque to Shrikant Bansode's house in Ahmedpur PS No.9                              | 10.00 |
| 69                     | Cement road from Ahmedpur No. 2 Kajaria Tiles to Balaji Gutte                                                                   | 10.00 |
| 70                     | Cement road from Ahmedpur No. 4 to Subhash Shetkar to Bapurao Mane's house                                                      | 10.00 |
| 71                     | Construction of Cement Road from Ahmedpur No.5 College Road to Nagargoje Hospital, Karkanale                                    | 20.00 |
| 72                     | Cement road from Ahmedpur PS No.3 DP Road Vithal Devkatte to Lamture                                                            | 10.00 |
| 73                     | Ahmedpur No.3 Cement road from Gayabai Sirsath to Rajiv Gandhi School                                                           | 10.00 |
| 74                     | Cement road from Kiran Garden to Makkah Majjid to Ahmedpur No. 2                                                                | 10.00 |
| Chakur Nagar Panchayat |
| 75                     | Chakur No.5 Installation of Solar Street Lights                                                                                 | 10.00 |
| 76                     | Chakur No.5 Installation of Solar Highmast                                                                                      | 10.00 |
| 77                     | Chakur No. 5 Drainage and Cement Roads at various places                                                                        | 30.00 |
| 78                     | Chakur No.7 Drainage and cement roads at various places                                                                         | 30.00 |
| 79                     | Chakur No. 7 Drainage and Drainage at various places and Laying and Loading                                                     | 30.00 |
| 80                     | Solar street lights and electrification from Chakur No.9, Bothhi Road to Ramdas Shastri and Sathe Nagar.                        | 25.00 |
| 81                     | Chakur No.9 Installation of solar street lights and solar highmasts at various places                                           | 10.00 |
| 82                     | Loading and Cement Road from Chakur No.9 Rahmat Nagar DP to Ajmat Karushi Shop                                                  | 15.00 |
| 83                     | Chakur No.9 Construction of drains and narrow roads at various places                                                           | 10.00 |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
Page 3 of 5
# Page 4
Government Decision No: Narrow-2024 / Q. No.27 / Ka-1411
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| 84    | Decoration of Chakur No. 14 Public Crematorium                                                                                                                          | 30.00 |
| 85    | Chakur No.14 Installation of solar street lights and solar highmasts at various places                                                                                  | 20.00 |
| 86    | Loading and Cement Road at Chakur No. 14 Public Crematorium                                                                                                             | 10.00 |
| 87    | Installation of solar street lights in Chakur No. 14 Muslim Crematorium                                                                                                 | 10.00 |
| 88    | Chakur Q. No. 11 Construction of drains and cement roads at various places and levelling.                                                                               | 10.00 |
| 89    | Construction of drains on both sides of Chakur No. 3 near Kamble's house and Bhosale's house                                                                            | 20.00 |
| 90    | Construction of drains on both sides from Chakur No. 3 Izare Sir to Pawar and Bharu's houses                                                                            | 20.00 |
| 91    | Construction of drains and cement roads on both sides of Narendra Kulkarni Shed at Nasinh Mandir, Chakur No.16                                                          | 30.00 |
| 92    | Chakur No.10 Installation of solar highmast and solar street lights at various places                                                                                   | 10.00 |
| 93    | Construction and Loading of Chakur Cement Road and Drainage                                                                                                             | 25.00 |
| 94    | Chakur No. 1 Making a narrow road from Jhari Rade to Padilai to his house                                                                                               | 25.00 |
| 95    | Chakur No. 4 Installation of solar highmast and solar street lights at various places                                                                                   | 15.00 |
| 96    | Construction of cement roads and drains from Chakur PS No. 11 Rajeshwar Phulari to Ishwar Patil and Lokhande Guruji Pandu and Manoj Sontakke to Shivalinga Kurti Payant | 15.00 |
| 97    | Cement road from Chakur No.13 Om Loya to Sitaram Suvarnakar                                                                                                             | 05.00 |
| 98    | Chakur No.2 Installation of LED Bulbs and Solar Highmast from Latru-Nanded Highway to Jawade Sir's House                                                                | 05.00 |
| 99    | Chakur No. 16 Solar highmast and solar street lights and construction at various places.                                                                                | 10.00 |
| 100   | Construction of cement road from Chakur No. 04 Shinde's house to New Model English School                                                                               | 10.00 |
| 101   | Chakur No. 16 Installation and construction of lights on both sides of Jai Bhawani Mamandir to Nrusingha Mandir with light poles and wires.                             | 10.00 |
| 102   | Chakur Project र.16व Construction of Drainage / Cement Road at various places and Loading                                                                               | 05.00 |
| 103   | Chakur No.2 Open space beautification and installation of solar highmast at Mauli Dham, Sankalp Nagar                                                                   | 20.00 |
| 104   | Construction of cement road from Chakur No.13 Kaustubh Savarkar to Chandrakant Shete's house                                                                            | 05.00 |
| 105   | Construction of Chakur No.9 Cultural Hall                                                                                                                               | 20.00 |
| 106   | Construction of Cement Road and Drainage from Chakur No.1 Mannan Sheikh to 132 KV Payyant                                                                               | 25.00 |
| 107   | Chakur No. 2 Latru-Nanded Highway to construct cement road from Rajesh Tagadpalle to Yachchai                                                                           | 20.00 |
| 108   | Chakur No.4 Latru-Nanded Highway to Cement Road to Vitthal Temple                                                                                                       | 30.00 |
| 109   | Chakur No.2 Cement road from Rahul Gawane to Hari Kamble's house                                                                                                        | 20.00 |
| 110   | Chakur No. 3 Construction of cement roads and drains at various places                                                                                                  | 20.00 |
| 111   | Chakur No. 4 Installation of solar highmasts and street lights at various places                                                                                        | 10.00 |
| 112   | Chakur No. 4 Decorating Open Space                                                                                                                                      | 10.00 |
| 113   | Chakur No. 5 Construction of drains at various places                                                                                                                   | 20.00 |
| 114   | Chakur No. 7 Construction of a drain from the farm of Hasan Patel to Irwani                                                                                             | 20.00 |
| 115   | Construction of cement roads and drains from Chakur No.7 Mahammadiya Masjid to Akhil Sheikh to Shakir Sheikh to Azar Sheikh to Bablu Haramare.                          | 20.00 |
| 116   | Construction of cement road from Chakur No. 14 Boathi Rade to Muslim Crematorium                                                                                        | 15.00 |
| Total | 1500.00                                                                                                                                                                 |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Page 4 of 5
# Page 5
Government Decision No: Narrow-2024 / Q. No.27 / Ka-1411
The Government decision is available on the Government of Maharashtra website www.maharashtra.gov.in.
