# Page 1
----------------------------------------------------------------------------------------------------------------------------------
| Co-operative Irrigation in the State                                                                                           |
| It should be ensured that the beneficiaries meet the farmers directly and there should not be anything wrong in it.                   |
| Be careful of that.                                                                                                                   |
| 6. In case of non-action as above, the responsibility is fixed on the investigating officer along with the institution.               |
| should be done.                                                                                                                       |
| 7) The amount shall be drawn from the treasury and paid by cheque to the bank/ financial institution concerned.                       |
| Authorized to be done by the Accountant, Commissioner of Cooperation and Registrar, Cooperative Societies, State of Maharashtra, Pune |
| They are being given the right to adopt and propagate.                                                                                |
| Expenditure Rs. 82,09,020/- (Rupees Eighty Two Lakhs Nine Thousand Twenty only) for the Financial Year 2020-21                        |
| The monthly fund from the provision should be distributed as per the statement.                                                       |
| The amount so withdrawn by the Institute, State of Maharashtra, Pune shall be credited to the concerned Bank/ Financial Institution.  |
| After the payment of the loan amount, the completion report should be submitted to the government within 15 days.                     |
| Government Decision No. CSL- 1494/2822/ PR.Q.dntr. 133/7-S dated 19.11.1994 and                                                       |
|                                                                                                                                       |
|                                                                                                                                       |
| The Commissioner of Cooperation shall disburse the grants to the institutions concerned.                                              |
-----------------------------------------------------------------------------------------------------------------------------------------
Only after the conditions contained in Annexure A with 24.12.2013 and 28.02.2014 are satisfied
-----------------------------------------------------------------------------------------------------------------------------------------
| Approval granted to 05 Cooperative Irrigation Societies in Annexure' A'.                                                              |
| Based on the information submitted by the Cooperation Commissioner, Pune along with the proposal                                      |
| If there are any discrepancies in the documents and information submitted                                                             |
| The amount will be recovered in lump sum along with interest from the institutions concerned subject to these conditions.             |
| 3.Check of the amount of financial assistance sanctioned as above, from the banks/ financial institutions                             |
| The Co-operative Irrigation Corporation has taken loan for the project cost from the bank/ financial institution.                     |
| The names of the manager/ manager should be removed.                                                                                  |
| The amount of financial assistance received by them through cheque from the concerned Cooperative Irrigation Society.                 |
| They should be adjusted against the loan amount coming in.                                                                            |
| During the financial year 2020-21, out of the total outlay of Rs. 82,09,020/-                                                         |
| (Rupees Eighty Two Lakhs Nine Thousand Twenty only) to the Commissioner and Registrar of Cooperatives as per Annexure' A'.            |
| Co-operative Societies, Maharashtra State, Pune at office level provided on BDS                                                       |
| Commissioner and Registrar of Cooperative Societies, Maharashtra                                                                      |
| State, Pune is being authorized as Controlling Authority.                                                                             |
| 5. Proper utilization of funds by monitoring the actual utilization plan before or after disbursement.                                |
| It should be ensured that the beneficiaries meet the farmers directly and there should not be anything wrong in it.                   |
| Be careful of that.                                                                                                                   |
| 6. In case of non-action as above, the responsibility is fixed on the investigating officer along with the institution.               |
| should be done.                                                                                                                       |
| 7) The amount shall be drawn from the treasury and paid by cheque to the bank/ financial institution concerned.                       |
| Authorized to be done by the Accountant, Commissioner of Cooperation and Registrar, Cooperative Societies, State of Maharashtra, Pune |
| They are being given the right to adopt and propagate.                                                                                |
| Expenditure Rs. 82,09,020/- (Rupees Eighty Two Lakhs Nine Thousand Twenty only) for the Financial Year 2020-21                        |
| The monthly fund from the provision should be distributed as per the statement.                                                       |
| The amount so withdrawn by the Institute, State of Maharashtra, Pune shall be credited to the concerned Bank/ Financial Institution.  |
| After the payment of the loan amount, the completion report should be submitted to the government within 15 days.                     |
| Government Decision No. CSL- 1494/2822/ PR.Q.dntr. 133/7-S dated 19.11.1994 and                                                       |
|                                                                                                                                       |
|                                                                                                                                       |
| The Commissioner of Cooperation shall disburse the grants to the institutions concerned.                                              |
-----------------------------------------------------------------------------------------------------------------------------------------
Page 4 of 2
# Page 3
GOVERNMENT DECISION NO.: CSL-1520/ PR.Q.dntr. 127/7-S,
---------------------------------------------------------------------------------------------------------------------------------
| 9. The expenditure for this purpose shall be covered under the following heads:                                               |
| Demand No.V-2,                                                                                                                |
| 2425, co-operation                                                                                                            |
| 108 Assistance to other Co-operative Societies.                                                                               |
| (a) Other Co-operative Societies                                                                                              |
| Schemes under Five Year Plans (State Schemes)                                                                                 |
| (05) (02) Financing of Upstream Irrigation Schemes (Programme) (2425 1261)                                                    |
| 33, financial support.                                                                                                        |
| 10. The said Government Decision was issued by the Finance Department vide R.N.O.S. 219/2021/ Expenditure-2, dated 31.03.2021 |
| It is being done as per the approval.                                                                                         |
---------------------------------------------------------------------------------------------------------------------------------
# Page 4
