# Page 1
------------------------------------------------------------------------------------------------------------------------------------------------------------
| Smriti Van in the name of late Balasaheb Thackeray and                                                                                                   |
| Rs. 50,00,000 - (Rupees fifty lakhs only) under the decision, Rs. 3,60,00, 000 / - (Rupees three only) under the Government decision in Reference No. 4. |
| sixty crores only), Rs. 4,20,00, 000 / - (Rs. four crore twenty lakhs only) under Government Decision at Reference No.6, and                             |
| Under the Government Decision at Reference No.7, the total amount of funds is Rs. 5,00,00, 000 / - (Rs.5 crore only) amounting to Rs. 18.30 crore.       |
| Out of the remaining undistributed amount, as per the demand of the Commissioner, Chhatrapati Sambhajinagar, late Balasaheb has been distributed.        |
| A memorial and memorial in Thackeray's name will be set up at Chhatrapati Sambhajinagar in the financial year 2025-26.                                   |
| Disbursement of funds to the tune of Rs. 3,99,00, 000 / - (Rupees Three Crore Ninety Nine Lakhs only) is under consideration of the Government.          |
| It was.                                                                                                                                                  |
|                                                                                                                                                          |
| The government's decision:                                                                                                                               |
| To set up a memorial and memorial in the name of Late Maa Balasaheb Thackeray at Chhatrapati Sambhajinagar.                                              |
| For disbursement of funds to the tune of Rs. 3,99,00, 000 / - (Rupees Three Crore Ninety-Nine Lakhs only) at Reference No.5                              |
| Subject to the terms and conditions set out in the Government Decision of D. 09.03.2020 and Reference No. 2 of D. 29.03.2017, this Government            |
| The decision is being approved.                                                                                                                          |
|                                                                                                                                                          |
| Commissioner cum Director, Municipal Council after the expiry of the time limit for expenditure of this fund at the end of 31st March, 2027.             |
| The Directorate of Administration, Mumbai has released all funds for the year 2025-26 under this head.                                                   |
| Obtain a certificate of utility. This certificate of utility must be submitted together to the relevant Accountant General's office.                     |
| Submit a report of expenditures and unrealized funds to the government.                                                                                  |
|                                                                                                                                                          |
------------------------------------------------------------------------------------------------------------------------------------------------------------
# Page 2
---------------------------------------------------------------------------------------------------------------------------------------------------
| 03. Total amount sanctioned and disbursed as per this Government Decision is Rs. 3,99,00, 000 / - (Rs. 3)                                       |
| control to the Collector, Chhatrapati Sambhajinagar, to disburse the operating machinery) of Rs.                                                |
| The officer as well as the District Administration Officer, Chhatrapati Sambhajinagar are being declared as the Drawing and Disbursing Officer. |
| The Drawing and Disbursing Officer shall draw and disburse the said funds to the operating system.                                              |
|                                                                                                                                                 |
| Expenditure in respect of Demand No.F-2, Head of Main Accounts, 2217, Urban Development, 80, General, 191,                                      |
| Assistance to Municipal Corporations, (00) (83) Assistance to Municipal Corporations for the construction of monuments in urban areas, 31.      |
| Original budgetary provision for the year 2025-26 under the head Auxiliary Grants (Non-Payment), (2217A038)                                     |
| Also, the provision received by way of redeployment under Government Memorandum No. Supplement-2025 / Pro. र.445/नव G-20, D 30.03.2026          |
| The total provision of Rs. 3,99,00, 000 / - (Rs. 3 crore ninety nine lakhs only) should be met.                                                 |
|                                                                                                                                                 |
| 05. Department of Government Decision Planning, Informal Reference No. र.385/2025/क No.1444, D 07.11.2025, Finance                              |
| Department, Informal Reference No. र.46/व Section-3, D. 16.03.2026 and Government Circular No. Supplement-2025 / of the Department of Finance   |
| Q र.84/अर th-3, d 07.01.2026 being issued as agreed upon.                                                                                       |
|                                                                                                                                                 |
| 06. The said Government Decision to be made available on the Government of Maharashtra website www.maharashtra.gov.in.                          |
| The order has been issued with the code 202603301910060025. The order has been digitally authenticated.                                         |
| It's coming.                                                                                                                                    |
|                                                                                                                                                 |
| By order and in the name of the Governor of Maharashtra,                                                                                        |
|                                                                                                                                                 |
|                                                                                                                                                 |
| (Anil Kumar rises)                                                                                                                              |
| Under Secretary, Government of Maharashtra                                                                                                      |
|                                                                                                                                                 |
| per se,                                                                                                                                         |
| Principal Secretary to the Hon'ble Chief Minister, Mantralaya, Mumbai.                                                                          |
---------------------------------------------------------------------------------------------------------------------------------------------------
Principal Secretary to the Hon'ble Deputy Chief Minister (Urban Development), Mantralaya, Mumbai.
3) Secretary to the Hon'ble Deputy Chief Minister (Minorities, State Excise), Mantralaya, Mumbai
4) Personal Assistant to the Hon'ble Additional Chief Secretary (NV-2), Urban Development Department.
----------------------------------------------------------------------------------------------
| Additional Chief Secretary, Finance Department, Mantralaya, Mumbai.                        |
| 6) Ms. Secretary, Planning Department, Mantralaya, Mumbai.                                 |
| Commissioner and Director, Directorate of Municipal Council Administration, Worli, Mumbai. |
| 8) Collector, Chhatrapati Sambhajinagar                                                    |
| Commissioner, Chhatrapati Sambhajinagar Municipal Corporation                              |
| 10) District Treasury Officer, Chhatrapati Sambhajinagar                                   |
| 11) District Administration Officer, Chhatrapati Sambhajinagar                             |
| 12) Accountant General (LOA) Maharashtra - 1 & 2. Mumbai / Nagpur.                         |
| 13) Accountant General (Retd.) Maharashtra - 1 & 2. Mumbai / Nagpur.                       |
| 14) Subsidy and Accounts Officer, Bandra (East), Subsidy and Accounts Office, Mumbai.      |
| Resident Auditor Officer, Mumbai                                                           |
| Room Officer (NV-4), Urban Development Department, Mantralaya, Mumbai                      |
| Room Officer (NV-24), Urban Development Department, Mantralaya, Mumbai                     |
| 18) Selection (Nov-20).                                                                    |
----------------------------------------------------------------------------------------------
