# Page 1
To disburse the first instalment of Untied/ Basic Grants for the year 2022-2023 under Non-Million Plus Cities as per the recommendations of the 15th Finance Commission.
The Government of Maharashtra
the Urban Development Department
Government Resolution No: FFC-2023/ No.35/ NV-4
Mantralaya, Mumbai- 400032
Date: 30th of March, 2023
Read: 1. Urban Development Department, Govt. FFC 2020/ Q.No.56/ NO-04, Dt. 28.10.2020 2. Letter from the Central Government (ULB Release No. 123/2022-23) No.F15 (03)/ FC-XV/ FCD/ 2020-25, dated 29.03.2023.
The Proposal:
The 15th Finance Commission has been constituted for the period 2021-22 to 2025-26. 2 Under the 15th Finance Commission Order dated 29.03.2023, Rs. 191.00 crore has been received for the year 2022-23 and the matter of disbursement of the same to the Urban Local Bodies in the State was under consideration of the Government.
Government's decision:
As per the recommendations of the 15th Central Finance Commission, Govt. The first instalment of Untied/ Basic Grants for the year 2022-2023 released under the order is Rs. 191.00 crore to all eligible D category Municipal Corporations, Municipal Councils and Nagar Panchayats in Non-Million Plus Cities group and Cuttack Mandal on the basis of i) Population ii) Area as indicated in the Annexure.
2) Rs. 191.00 crore is being handed over to the Commissioner and Director, Directorate of Municipal Administration for disbursement to the Urban Local Bodies as per Annexure. The Commissioner and Director, Directorate of Municipal Administration should immediately disburse their share of funds to the respective Urban Local Bodies through the PEMS system as per the annexure.
Application Certificate in the prescribed format of the amount of 15th Finance Commission Untied/ Basic Grants received from the Central Government for the financial year 2022-2023 from the immediate Commissioner and Director, Municipal Administration.
# Page 2
Government Resolution No: FFC-2023/ No.35/ NV-4, Directorate, Mumbai to be submitted to the Government. While spending from this subsidy, it will be mandatory to do as per the provisions of the government decision issued by the government as well as the instructions given from time to time. The grant is being distributed as" conditional."
As per the recommendations of the 15th Finance Commission, the first instalment of Untied/ Basic Grants for the year 2022-2023 is being disbursed to the D category Municipal Corporations, Municipalities and Nagar Panchayats as well as Cuttack Mandal as mentioned above. F-2, 2217 Urban Development, 05, Other Urban Development Schemes, 191, Assistance to Urban Local Bodies, Urban Development Authorities, Urban Development Boards, etc., (00) (03) Subsidiary Grants to Urban Local Bodies (Compulsory) as per the recommendations of the Fifteenth Finance Commission, (2217 A314) 31, Subsidiary Grants (Non-salaried).
The Joint Commissioner, Directorate of Municipal Administration is being declared as the Controlling Officer and the concerned Assistant Commissioner (Accounts), Directorate of Municipal Administration as the Drawing and Disbursing Officer for the purpose of collection and disbursement of the said funds.
6. The said Government Decision is a non-official reference of Finance Department No. 12/2023/ V.A.C., dated 30.03.2023 is being issued with the concurrence received.
-------------------------------------------------------------------------------------------------------
| The decision will be available on the website of the Maharashtra government www.maharashtra.gov.in. |
| The code is 202303301837104425.                                                                     |
| It is being verified by digital signature.                                                          |
-------------------------------------------------------------------------------------------------------
By order and in the name of the Governor of Maharashtra, MHENDRA
PARBAT DALVI
(Mahendra Singh Dhoni)
Administrative Officer, Government of Maharashtra 1. Additional Chief Secretary to Chief Minister 2. Chief Secretary, Mantralaya, Mumbai 3. Additional Chief Secretary, Finance Department, Mantralaya, Mumbai 4. Commissioner and Director, Directorate of Municipal Administration, Worli, Mumbai 5. Accountant General's Office, Maharashtra 1/2. Mumbai/ Nagpur 6. Subordinate and Accounts Officer, Mumbai 7. All Divisional Commissioners 8. All Collectors 9. Commissioners, all concerned Municipal Corporations 10. Chief Officers, all Municipal Councils/ Nagar Panchayats 11. Chief Executive Officers, concerned Taluk Mandals 2 out of 14
# Page 3
GOVERNMENT DECISION NO.: FFC-2023/ S.No.35/ NV-4, 12. All District Treasury Officers 13. Cell Officer (Viac), Ministry of Finance, Mumbai 14. Personal Assistant to Additional Chief Secretary, Urban Development-I Department, Ministry, Mumbai
Personal Assistant to Principal Secretary, Urban Development-II, Mantralaya, Mumbai 16. Selection, Navi-IV Office, Urban Development Department, Mantralaya, Mumbai
Page 3 of 14
# Page 4
Government Resolution No: FFC-2023/ No.35/ No.4,
Annexure with Government Resolution No. FFC-2023/ No.35/ NV-4 dated 30th March, 2023.
---------------------------------------------------------------------------------------------------------------------------------------
| A.A.    | the District             | Name of the Board M.N.P./ N.P./ N.P./ Cuttack | Funds payable as per population and area (Rs.) |
| 53 | Nashik      | Yeola Municipal Council             | 41,90,848    |
| 54 | Nashik      | the Trimbakeshwar Municipal Council | 9,86,694     |
| 55 | Nashik      | Satna Municipal Council             | 36,18,095    |
| 56 | Nashik      | Niphad Nagar Panchayat              | 18,22,248    |
| 57 | Nashik      | Kalwan Nagar Panchayat              | 18,01,179    |
| 58 | Nashik      | Temple Town Panchayat               | 12,70,755    |
| 59 | Nashik      | Peth Nagar Panchayat                | 8,04,652     |
| 60 | Nashik      | Surgana Nagar Panchayat             | 5,69,884     |
| 61 | Nashik      | Chandwad Nagar Panchayat            | 27,79,733    |
| 62 | Nashik      | Dindori Nagar Panchayat             | 18,61,634    |
| 63 | Nashik      | Bhagur Nagar Parishad               | 9,82,466     |
| 64 | Nashik      | Devrali Katak Mandal                | 51,61,692    |
| 65 | Nashik      | the Ozar Municipal Council          | 52,15,233    |
| 66 | Ahmednagar  | Ahmednagar Municipal Corporation    | 2,87,89, 581 |
| 67 | Ahmednagar  | Shrirampur Municipal Council        | 71,96,487    |
| 68 | Ahmednagar. | the Sangamner Municipal Council     | 55,21,953    |
| 69 | Ahmednagar. | Kopargaon Municipal Council         | 53,49,885    |
| 70 | Ahmednagar  | Rahuri Municipal Council            | 39,95,666    |
| 71 | Ahmednagar  | Rahata Pimpalas Municipal Council   | 22,52,452    |
| 72 | Ahmednagar  | the Srigonda Municipal Council      | 43,68,556    |
| 73 | Ahmednagar  | Devlali-Pravara Municipal Council   | 34,12,733    |
| 74 | Ahmednagar  | the Pathardi Municipal Council      | 28,88,803    |
-------------------------------------------------------------------------
Page 5 of 14
# Page 6
Government Resolution No: FFC-2023/ No.35/ No.4,
--------------------------------------------------------------------------
| 75  | Ahmednagar  | the Newasa Municipal Council        | 25,69,144    |
| 76  | Ahmednagar  | Shirdi Nagar Panchayat              | 31,12,450    |
| 77  | Ahmednagar  | Jamkhed Municipal Council           | 45,76,272    |
| 78  | Ahmednagar. | Akole Nagar Panchayat               | 18,58,257    |
| 79  | Ahmednagar. | Karjat Nagar Panchayat              | 25,65,771    |
| 80  | Ahmednagar  | Parner Nagar Panchayat              | 22,71,041    |
| 81  | Ahmednagar. | Shevgaon Municipal Council          | 43,69,455    |
| 82  | Ahmednagar  | Ahmednagar                          | 25,67,011    |
| 83  | Nandurbar   | Nandurbar Municipal Council         | 94,05,103    |
| 84  | Nandurbar   | Shahada Municipal Council           | 48,53,316    |
| 85  | Nandurbar   | Taloda Municipal Council            | 21,13,447    |
| 86  | Nandurbar   | the Navapur Municipal Council       | 30,05,943    |
| 87  | Nandurbar   | Dhadgaon Vadfale Nagar Panchayat    | 12,44,387    |
| 88  | Dhule       | Dhule Municipal Corporation         | 3,04,64, 288 |
| 89  | Dhule       | Shirpur-Varwade Municipal Council   | 61,58,941    |
| 90  | Dhule       | Dondaicha-Varwade Municipal Council | 43,95,388    |
| 91  | Dhule       | Sindkhed Nagar Panchayat            | 24,61,459    |
| 92  | Dhule       | Sakri Nagar Panchayat               | 18,63,370    |
| 93  | Jalgaon     | Jalgaon Municipal Corporation       | 3,75,87, 220 |
| 94  | Jalgaon     | Bhusawal Municipal Council          | 1,49,81, 977 |
| 95  | Jalgaon     | Amarner Municipal Council           | 78,70,965    |
| 96  | Jalgaon     | the Chopra Municipal Council        | 58,50,035    |
| 97  | Jalgaon     | the Chalisgaon Municipal Council    | 80,59,852    |
| 98  | Jalgaon     | Pachora Municipal Council           | 47,82,510    |
| 99  | Jalgaon     | the Faizpur Municipal Council       | 21,79,265    |
| 100 | Jalgaon     | the Yawal Municipal Council         | 40,87,066    |
| 101 | Jalgaon     | the Raver Municipal Council         | 21,67,300    |
| 102 | Jalgaon     | Sawda Municipal Council             | 16,58,750    |
| 103 | Jalgaon     | the Parola Municipal Council        | 30,45,234    |
| 104 | Jalgaon     | the Dharangaon Municipal Council    | 28,78,173    |
| 105 | Jalgaon     | Erandol Municipal Council           | 25,07,915    |
| 106 | Jalgaon     | Jamner Municipal Council            | 45,80,680    |
| 107 | Jalgaon     | Bhadgaon Municipal Council          | 40,02,468    |
| 108 | Jalgaon     | Varangaon Municipal Council         | 27,88,474    |
| 109 | Jalgaon     | Bodwad Nagar Panchayat              | 23,99,957    |
| 110 | Jalgaon     | Muktainagar Nagar Panchayat         | 23,73,086    |
| 111 | Jalgaon     | Shendurni Nagar Panchayat           | 27,25,849    |
| 112 | Jalgaon     | the Nasirabad Municipal Council     | 31,03,914    |
| 113 | Pune        | Baramati Municipal Council          | 97,09,130    |
| 114 | Pune        | the Lonavala Municipal Council      | 53,75,554    |
--------------------------------------------------------------------------
Page 6 of 14
# Page 7
Government Resolution No: FFC-2023/ No.35/ No.4,
---------------------------------------------------------------------------
| 115 | Pune   | Talegaon-Dabhade Municipal Council        | 46,45,661    |
| 116 | Pune   | the running city council                  | 40,13,570    |
| 117 | Pune   | the Indapur Municipal Council             | 21,24,992    |
| 118 | Pune   | Shirur Municipal Council                  | 30,47,956    |
| 119 | Pune   | the Jejuri Municipal Council              | 12,87,247    |
| 120 | Pune   | Bhor Municipal Council                    | 16,33,569    |
| 121 | Pune   | the Saswad Municipal Council              | 30,00,675    |
| 122 | Pune   | Alandi Municipal Council                  | 23,97,658    |
| 123 | Pune   | the Junnar Municipal Council              | 20,42,399    |
| 124 | Pune   | Rajgurunagar Municipal Council            | 23,40,100    |
| 125 | Pune   | Chakan Municipal Council                  | 36,05,931    |
| 126 | Pune   | Vadgaon Nagar Panchayat                   | 14,76,446    |
| 127 | Pune   | Dehu Nagar Panchayat                      | 17,27,772    |
| 128 | Pune   | Malegaon Budruk Nagar Panchayat           | 20,84,722    |
| 129 | Pune   | Manchar Nagar Panchayat                   | 18,45,771    |
| 130 | Pune   | Pune Circle                               | 58, 95, 123  |
| 131 | Pune   | Dehuroad Katak Mandal                     | 46,59,185    |
| 132 | Pune   | rock bandit                               | 58,06,615    |
| 133 | Sangli | Sangli-Miraj-Kupwad Municipal Corporation | 4,20,46, 709 |
| 134 | Sangli | Islampur Municipal Council                | 61,89,341    |
| 135 | Sangli | Vita Municipal Council                    | 50,27,715    |
| 136 | Sangli | Ashta Municipal Council                   | 47,92,323    |
| 137 | Sangli | Tasgaon Municipal Council                 | 39,50,436    |
| 138 | Sangli | the Jat Nagar Panchayat                   | 43,00,418    |
| 139 | Sangli | Kavathe Mahakal Nagar Panchayat           | 19,30,910    |
| 140 | Sangli | Khanapur Nagar Panchayat                  | 10,56,499    |
| 141 | Sangli | Shirola Nagar Panchayat                   | 14,46,057    |
| 142 | Sangli | Kadegaon Nagar Panchayat                  | 13,54,075    |
| 143 | Sangli | Palus Nagar Panchayat                     | 26,77,552    |
| 144 | Sangli | Atpadi Nagar Panchayat                    | 39,93,191    |
| 145 | Satara | Satara Municipal Council                  | 95,98,301    |
| 146 | Satara | Karad Municipal Council                   | 42,77,342    |
| 147 | Satara | Phaltan Municipal Council                 | 44,11,393    |
| 148 | Satara | the Rahimatpur Municipal Council          | 22,57,088    |
| 149 | Satara | Mhaswad Municipal Council                 | 38,76,386    |
| 150 | Satara | the Wai City Council                      | 29,03,399    |
| 151 | Satara | the Panchgani Municipal                   | 13,20,991    |
| 152 | Sattar | Mahabaleshwar Municipal Council           | 43,17,218    |
| 153 | Satara | Malkapur Nagar Panchayat                  | 26,72,317    |
| 154 | Satara | Lonand Nagar Panchayat                    | 20,05,699    |
---------------------------------------------------------------------------
Page 7 of 14
# Page 8
Government Resolution No: FFC-2023/ No.35/ No.4,
------------------------------------------------------------------------
| 155 | Satara     | Koregaon Nagar Panchayat           | 21,89,647    |
| 156 | Satara     | Medha Nagar Panchayat              | 4,37,844     |
| 157 | Satara     | Patan Nagar Panchayat              | 12,09,090    |
| 158 | Satara     | Vaduj Nagar Panchayat              | 20,11,923    |
| 159 | Satara     | Khandala Nagar Panchayat           | 9,19,119     |
| 160 | Satara     | Dahiwadi Nagar Panchayat           | 21,35,061    |
| 161 | Solapur    | Solapur Municipal Corporation      | 7,85,59, 380 |
| 162 | Solapur    | the Barshi Municipal Council       | 1,01,16, 362 |
| 163 | Solapur    | Pandharpur Municipal Council       | 81,37,801    |
| 164 | Solapur    | the Karmala Municipal Council      | 19,23,750    |
| 165 | Solapur    | the Sangola Municipal Council      | 42,38,940    |
| 166 | Solapur    | Akkalkot Municipal Council         | 32,40,631    |
| 167 | Solapur    | the Mangalwedha Municipal Council  | 17,37,401    |
| 168 | Solapur    | the Mendargi Municipal Council     | 10,11,868    |
| 169 | Solapur    | Dudhni Municipal Council           | 9,13,304     |
| 170 | Solapur    | Kurduwadi Municipal Council        | 19,05,308    |
| 171 | Solapur    | Malshiras Nagar Panchayat          | 25,33,082    |
| 172 | Solapur    | Mohol Municipal Council            | 31,26,362    |
| 173 | Solapur    | Madha Nagar Panchayat              | 12,08,278    |
| 174 | Solapur    | Akluj Municipal Council            | 40,61,606    |
| 175 | Solapur    | the Kithapute Nagar Panchayat      | 20,54,350    |
| 176 | Solapur    | Mahalung-Sripur Nagar Panchayat    | 24,04,567    |
| 177 | Solapur    | Wairag Nagar Panchayat             | 17,04,849    |
| 178 | Solapur    | Anagar Nagar Panchayat             | 24,08,227    |
| 179 | Kolhapur   | Kolhapur Municipal Corporation     | 4,45,27, 230 |
| 180 | Kolhapur   | Ichalkaranji Municipal Corporation | 2,31,81, 706 |
| 181 | Kolhapur   | Jaisinghpur Municipal Council      | 40,02,585    |
| 182 | Kolhapur   | the Malkapur Municipal Council     | 4,61,677     |
| 183 | Kolhapur   | Murgud Municipal Council           | 11,88,459    |
| 184 | Kolhapur   | Vadgaon Municipal Council          | 22,34,346    |
| 185 | Kolhapur   | Gadhinglaj Municipal Council       | 22,05,327    |
| 186 | Kolhapur   | the Kurundwad Municipal Council    | 23,34,897    |
| 187 | Kolhapur   | the Kagal Municipal Council        | 44,14,994    |
| 188 | Kolhapur   | the Hupri Municipal Council        | 26,54,338    |
| 189 | Kolhapur   | Shirol Municipal Council           | 27,54,780    |
| 190 | Kolhapur   | Panhala Municipal Council          | 2,79,829     |
| 191 | Kolhapur   | Ajra Nagar Panchayat               | 15,85,874    |
| 192 | Kolhapur   | Hatkanagale Nagar Panchayat        | 14,48,009    |
| 193 | Kolhapur   | Chandgad Nagar Panchayat           | 11,38,933    |
| 194 | Aurangabad | Sillod Municipal Council           | 53,68,326    |
------------------------------------------------------------------------
Page 14 of 8
# Page 9
Government Resolution No: FFC-2023/ No.35/ No.4,
--------------------------------------------------------------------------
| 195 | Aurangabad | the Paithan Municipal Council        | 33,67,751    |
| 196 | Aurangabad | Vaijapur Municipal Council           | 34,71,539    |
| 197 | Aurangabad | the Gangapur Municipal Council       | 26,74,866    |
| 198 | Aurangabad | Khultabad Municipal Council          | 13,48,753    |
| 199 | Aurangabad | the Kannada Municipal Council        | 32,93,818    |
| 200 | Aurangabad | Soygaon Nagar Panchayat              | 6,66,403     |
| 201 | Aurangabad | Phulambri Nagar Panchayat            | 21,37,102    |
| 202 | Aurangabad | Aurangabad division                  | 16,49,853    |
| 203 | Parbhani   | Parbhani Municipal Corporation       | 2,53,58, 402 |
| 204 | Parbhani   | Gangakhed Municipal Council          | 41,36,674    |
| 205 | Parbhani   | Sonepat Municipal Council            | 12,98,177    |
| 206 | Parbhani   | the full City Council                | 28,96,598    |
| 207 | Parbhani   | the Humanities City Council          | 27,34,735    |
| 208 | Parbhani   | Selu Municipal Council               | 37,78,272    |
| 209 | Parbhani   | Jintur Municipal Council             | 40,50,913    |
| 210 | Parbhani   | the Pathri Municipal Council         | 29,21,159    |
| 211 | Parbhani   | Palam Nagar Panchayat                | 13,55,391    |
| 212 | Hingoli    | the Hingoli Municipal Council        | 74,25,744    |
| 213 | Hingoli    | the Basmatnagar Municipal Council    | 56,61,533    |
| 214 | Hingoli    | Kalamnuri Municipal Council          | 21,84,461    |
| 215 | Hingoli    | Aundha Nagnath Nagar Panchayat       | 13,16,173    |
| 216 | Hingoli    | Sengaon Nagar Panchayat              | 7,83,499     |
| 217 | Jalna      | Jalna Municipal Council              | 2,42,08, 746 |
| 218 | Jalna      | the Ambad Municipal Council          | 27,40,818    |
| 219 | Jalna      | Bhokardan Municipal Council          | 19,70,628    |
| 220 | Jalna      | Partur Municipal Council             | 30,35,144    |
| 221 | Jalna      | Badnapur Nagar Panchayat             | 11,36,097    |
| 222 | Jalna      | Ghansawgi Nagar Panchayat            | 11,53,373    |
| 223 | Jalna      | Mantha Nagar Panchayat               | 19,64,754    |
| 224 | Jalna      | Jafrabad Nagar Panchayat             | 14,38,907    |
| 225 | Jalna      | Tirthapuri Nagar Panchayat           | 13,76,976    |
| 226 | Nanded     | Nanded-Waghala Municipal Corporation | 4,44,26, 313 |
| 227 | Nanded     | Biloli Municipal Council             | 16,10,576    |
| 228 | Nanded     | the Umri Municipal Council           | 11,35,485    |
| 229 | Nanded     | Mudkhed Municipal Council            | 22,52,422    |
| 230 | Nanded     | the Kandahar Municipal Council       | 21,95,392    |
| 231 | Nanded     | Hadgaon Municipal Council            | 22,06,950    |
| 232 | Nanded     | the Dharmabad Municipal Council      | 29,30,006    |
| 233 | Nanded     | Deglur Municipal Council.            | 44,35,179    |
| 234 | Nanded     | Kundalwadi Municipal Council         | 11,84,302    |
--------------------------------------------------------------------------
Page 9 of 14
# Page 10
Government Resolution No: FFC-2023/ No.35/ No.4,
--------------------------------------------------------------------------
| 235 | Nanded         | Mukhed Municipal Council         | 29,11,472    |
| 236 | Nanded         | the Kinwat Municipal Council     | 25,38,409    |
| 237 | Nanded         | the iron city council            | 24,96,997    |
| 238 | Nanded         | Bhokar Municipal Council         | 30,24,948    |
| 239 | Nanded         | Mahur Nagar Panchayat            | 13,03,327    |
| 240 | Nanded         | Ardhapur Nagar Panchayat         | 25,75,362    |
| 241 | Nanded         | Himayatnagar Nagar Panchayat     | 23,62,739    |
| 242 | Nanded         | Naigaon Nagar Panchayat          | 17,60,045    |
| 243 | Latur          | Latur Municipal Corporation      | 3,04,68, 717 |
| 244 | Latur          | the Udgir Municipal Council      | 82,41,540    |
| 245 | Latur          | Ahmedpur Municipal Council       | 38,50,268    |
| 246 | Latur          | the Nilanga Municipal Council    | 32,13,043    |
| 247 | Latur          | the Ausa Municipal Council       | 29,55,301    |
| 248 | Latur          | Chakur Nagar Panchayat           | 20,81,317    |
| 249 | Latur          | Jalkot Nagar Panchayat           | 11,86,004    |
| 250 | Latur          | Deoni Nagar Panchayat            | 18,38,726    |
| 251 | Latur          | Shirur Anantpal Nagar Panchayat  | 16,50,620    |
| 252 | Latur          | Ranipur Nagar Panchayat          | 26,13,460    |
| 253 | Osmanabad      | the Osmanabad Municipal Council  | 1,08,78, 832 |
| 254 | Osmanabad      | Tuljapur Municipal Council       | 27,57,585    |
| 255 | Osmanabad      | Umarga Municipal Council         | 28,51,685    |
| 256 | the Osmanabad. | the Land City Council            | 26,08,116    |
| 257 | Osmanabad      | the Paranda Municipal Council    | 15,70,928    |
| 258 | Osmanabad      | Murum Municipal Council          | 15,19,207    |
| 259 | Osmanabad      | the Naldurg Municipal Council    | 16,98,934    |
| 260 | Osmanabad      | Kalamb Municipal Council         | 20,85,969    |
| 261 | Osmanabad      | Lohara Nagar Panchayat           | 10,74,918    |
| 262 | Osmanabad      | Vashi Nagar Panchayat            | 28,04,023    |
| 263 | bead           | Beed Municipal Council           | 1,16,78, 301 |
