# Page 1
The newly constructed Government Medical College,
Mumbai or Institution of the Year - 2023-24 or Financial
from grants under State Schemes during the year.
Administrative for the purchase of machinery and equipment
regarding the approval.
Government of Maharashtra
Department of Medical Education and Pharmaceuticals,
Government Decision, No: Yantrakh-2024 / No.110 / Pr.
Gokuldas Tejpal Hospital Complex, New G.T. Complex,
9th Floor, Mantralaya, Mumbai - 400 001
Date: February 14, 2024
Read: 1) Government Decisions, Industries, Power and Labour Department, No.Bhankhas-2014 / No.82 /
Part-III / Industry-IV, dated 01.12.2016
2) Government Decision, Department of Public Health, No. Procurement-2016 / Q.No.240 /
Health - 8, Date 26.07.2017
3) Government Decisions, Industries, Power and Labour Department, No. Narrow-2016 /
Q. No.215 / Industry-4, dated 24.08.2017
4) Government Decisions, Industries, Power and Labour Department, No.Bhankhas-2021 / No.8 /
Industry-4, Date 07.05.2021
5) Letter from Commissioner, Medical Education and Research, Mumbai File No. - DMER- 22011/94/2024 - PROC1, dated - 08.02.2024
The government's decision:
The newly established Government Medical College, Mumbai is funded by the Government of India.
Rs. 2,13,94, 640 / - (Rupees Two Crore Thirteen Lakhs) from grants under State Schemes in a year
come to buy machinery and equipment for a price of ninety-four thousand six hundred and forty only)
Administrative approval is being granted subject to the following conditions under the Government Decision.
-------------------------------------------------------------------------------------------------------------------------------------------
| A. No. | The name of the machine                     | The number of n | Price (including all taxes) | Total cost (including all taxes) |
| 53     | metal machining machine                                                                | 1               | 498000                      | 498000                           |
| 54     | Post-mortem Intumament Set Complete                                                    | 1               | 298000                      | 298000                           |
| 55     | Suction Pump                                                                           | 2               | 58200                       | 116400                           |
| 56     | Cooking Filtering Apparels                                                             | 1               | 29900                       | 29900                            |
| 57     | Filter and Millipore Filter - Ich                                                      | 2               | 25600                       | 51200                            |
| 58     | Discitor                                                                               | 4               | 25800                       | 103200                           |
| 59     | Vume Decision                                                                          | 2               | 29800                       | 59600                            |
| 60     | Apron Plastic for Portmort                                                             | 100             | 90                          | 9000                             |
| 61     | Apron Rubber for Portmort                                                              | 20              | 510                         | 10200                            |
| 62     | Liophilizer                                                                            | 1               | 890600                      | 890600                           |
| 63     | UV Ransomulator with Photography                                                       | 1               | 165800                      | 165800                           |
| 64     | Colony Quarter                                                                         | 1               | 52100                       | 52100                            |
| 65     | Cold room + 4 ° C                                                                      | 1               | 998500                      | 998500                           |
| 66     | Face-conduct microscope                                                                | 1               | 298600                      | 298600                           |
| 67     | Vertux Mixer                                                                           | 1               | 45900                       | 45900                            |
| 68     | Electric Balance                                                                       | 1               | 158400                      | 158400                           |
| 69     | Microfuses                                                                             | 1               | 258900                      | 258900                           |
| 70     | Allra-sensorified fluorescent microscope                                               | 1               | 58600                       | 58600                            |
| 71     | Fluorescent                                                                            | 1               | 498600                      | 498600                           |
| 72     | Drug Delivery System Meter Dose Inhaler Spacer No Spray Runs Dermal Packs Insulin Pens | 1               | 48600                       | 48600                            |
| 73     | Sample of varis drug formulation                                                       | 1               | 8600                        | 8600                             |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Page 3 of 6
# Page 4
Government Decision No: Yantrakh-2024 / Q.No.110 / Pr.
----------------------------------------------------------------------------------------------------------------------------------------------------------------
| A. No. | The name of the machine                                          | The number of n | Price (including all taxes) | Total cost (including all taxes) |
| 74     | Simulation model for demonstration of root of eminence set of 10 | 1               | 398900                      | 398900                           |
| 75     | Computer Assisted Learning Lab                                   | 1               | 350000                      | 350000                           |
| 76     | A computer with a printer                                        | 2               | 98500                       | 197000                           |
| 77     | Anthromatic set incubulag                                        | 2               | 95600                       | 191200                           |
| 78     | Digital pH meter                                                 | 1               | 35600                       | 35600                            |
| 79     | digital spectrometer                                             | 1               | 265200                      | 265200                           |
| 80     | Chemical Balance                                                 | 1               | 152500                      | 152500                           |
| 81     | Destruction plant                                                | 1               | 152300                      | 152300                           |
| 82     | Refrigerator                                                     | 1               | 75200                       | 75200                            |
| 83     | Serifuse                                                         | 1               | 58900                       | 58900                            |
| 84     | Slide warming table                                              | 1               | 158200                      | 158200                           |
| 85     | Hot plate                                                        | 1               | 25900                       | 25900                            |
| 86     | Spectroscopy Lens with Adjustable Slight                         | 1               | 25000                       | 25000                            |
| 87     | Discussion Set Complete                                          | 30              | 12800                       | 384000                           |
| 88     | Digital BP Intuition                                             | 10              | 4000                        | 40000                            |
| 89     | Stethoscope                                                      | 10              | 4000                        | 40000                            |
| 90     | Waing machine for dead body                                      | 1               | 298000                      | 298000                           |
| 91     | Atospi table                                                     | 1               | 598000                      | 598000                           |
| 92     | SRIKER TYPE ATOSPI SOW WITH ASSERCISES                           | 1               | 325000                      | 325000                           |
| 93     | Waing Machine for Facts                                          | 1               | 4000                        | 4000                             |
| 94     | Discussion Set Complete                                          | 1               | 12800                       | 12800                            |
| 95     | Brain Nip                                                        | 3               | 5000                        | 15000                            |
| 96     | Hack Saw                                                         | 3               | 2600                        | 7800                             |
| 97     | Rib Share Lift and Right                                         | 1               | 68600                       | 68600                            |
| 98     | Measuring tape                                                   | 1               | 1500                        | 1500                             |
| 99     | Magnifying Lens                                                  | 5               | 500                         | 2500                             |
| 100    | X-ray view box (4 in one)                                        | 1               | 152500                      | 152500                           |
| 101    | Tooth Exerciser Left and Right                                   | 1               | 37800                       | 37800                            |
| 102    | Hand set hit sitter                                              | 1               | 35500                       | 35500                            |
| 103    | Intuition Roli                                                   | 1               | 78000                       | 78000                            |
| 104    | Reactal thrombometers                                            | 5               | 500                         | 2500                             |
| 105    | Portable X-ray machine                                           | 1               | 498000                      | 498000                           |
| Total  | 2,13,94, 640                                                     |
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Page 4 of 6
# Page 5
Government Decision No: Yantrakh-2024 / Q.No.110 / Pr.
Conditions: -
1) The State of the institution concerned in the financial year 2023-24.
The funds sanctioned under the schemes are being provided from the available funds.
2) In this regard, the "Procedure for Office Purchase to be carried out by the Government Department."
Government Issue of 'Manual' by the Department of Industry, Power and Labour
Decision No.Bhankhas-2014 / Q.No.82 / Part-III / Industry-4, dated 01.12.2016 and ancillary
The procedures mentioned in the government decisions should be followed.
(iii) Process for procurement of these machinery Government Decisions, Industries, Energy and Labour Department,
According to the provision of the procurement policy of the date 01.12.2016 or the government decision, industry,
Department of Energy and Labour No.Synchronous-2014 / Q.No.215 / Industries-4, dated 24.08.2017
Rates from the Government e-Marketplace (GeM) portal as prescribed under
The prescribed procedures should be followed as far as possible.
4) The proposed purchase rates are approximate when given administrative approval. Therefore, the purchase
Rates should be determined at the end of the process. The rate is less than the market price.
and the rate at which the supplier concerned has supplied these items elsewhere.
The Commissioner of Verification (Medical Education) not exceeding the rate as well as the concerned
The principal should do it.
5) The requirement of the equipment and its price is higher than the market price.
The Commissioner (Medical Education) as well as the Principal concerned should ensure that it is not.
6) The specifications of the equipment are comprehensive, comprehensive and shall be supplied accordingly.
Three bids can be received from at least three manufacturers / suppliers who can
Certified as such by the Commissioner (Medical Education) and the Principal concerned.
Do it.
7) Included in any proposal elsewhere including the proposed machinery.
the Commissioner as to the non-availability and the necessity of the said equipment by the institution concerned.
(Medical Education) and the respective Superintendent should ensure.
8) It will be necessary to show the prices of the main equipment and their accessories as different.
9) Providing administrative approval in making decisions regarding the purchase of machinery in this regard.
Expenditure shall not exceed the provision of grants sanctioned under the head of accounts received.
Take care of this.
Page 5 of 6
# Page 6
Government Decision No: Yantrakh-2024 / Q.No.110 / Pr.
10) In the above Government Decision, Department of Industry, Energy and Labour, dated 01.12.2016
Under the heading "Price Forecasting and Price Reasonableness"
The provision in paragraph no. 3.1.2.1 shall be complied with by the State Level Procurement Committee.
2. The expenditure incurred for the purpose is sanctioned under the following headings:
to be paid out of the grant.
Demand Number: S-04
4210 - Capital expenditure on medical services and public health
03 - Medical Education, Training and Research
105 - Odd-even therapy
(3) (37) - Strengthening of Government Medical Colleges and Hospitals and
Upgrading (program) (4210 1629)
52 - Machinery and Equipment
The said Government Decision, Finance Department, Government Decision No: V.P. 2013 / Q. No. 30/13
Regulations, dated 17.04.2015 as well as Financial Rights Manual Part-I, Sub-Division-
2, Serial No.-3, under the powers vested in the Administrative Division in accordance with Rule No.-7.
is being released.
-------------------------------------------------------------------------------------------------------------
| 4. This Government Decision is available on the Government of Maharashtra website www.maharashtra.gov.in. |
| It has been made available with the code 202402141740157413.                                              |
| It is being certified with a digital signature.                                                           |
-------------------------------------------------------------------------------------------------------------
By order and in the name of the Governor of Maharashtra.
(Sudheer Jaya Shetty)
Executive Officer, Government of Maharashtra
per se,
1) Commissioner (VC), Medical Education and Research, Mumbai
Accountant General-1 / 2 (Audit / Accounts & Licensure) Maharashtra, Mumbai / Nagpur
3) Director, Medical Education and Research, Mumbai
4) Principal, Government Medical College, Mumbai
5) Subsidiary and Accounts Officer, Mumbai
Resident Accounts Officer, Mumbai
7) Selection (Problem 1)
Page 6 of 6
